시군명,읍면동명,등록동물수(마리),(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록소유자수,데이터기준일자,,,,
양주시,백석읍,1730,986,631,113,1217,2022-07-20,,,,
양주시,봉양동,66,23,25,18,46,2022-07-20,,,,
양주시,산북동,170,72,78,20,117,2022-07-20,,,,
양주시,삼숭동,1346,613,622,111,1020,2022-07-20,,,,
양주시,어둔동,28,11,7,10,11,2022-07-20,,,,
양주시,옥정동,2822,1287,1264,271,2135,2022-07-20,,,,
양주시,유양동,80,50,27,3,39,2022-07-20,,,,
양주시,율정동,39,24,13,2,28,2022-07-20,,,,
양주시,은현면,311,167,112,32,198,2022-07-20,,,,
양주시,장흥면,707,394,264,49,421,2022-07-20,,,,
양주시,회암동,71,50,20,1,33,2022-07-20,,,,
양주시,회정동,417,191,138,88,293,2022-07-20,,,,
양평군,강상면,1233,538,317,378,772,2022-09-07,,,,
양평군,강하면,1372,1053,173,146,360,2022-09-07,,,,
양평군,개군면,506,245,167,94,303,2022-09-07,,,,
양평군,단월면,419,205,88,126,228,2022-09-07,,,,
양평군,서종면,1249,689,366,194,692,2022-09-07,,,,
양평군,양동면,469,188,103,178,220,2022-09-07,,,,
양평군,양서면,1237,702,392,143,748,2022-09-07,,,,
양평군,양평읍,2729,1400,775,554,1678,2022-09-07,,,,
양평군,옥천면,935,470,297,168,573,2022-09-07,,,,
양평군,용문면,1857,878,500,479,1101,2022-09-07,,,,
양평군,지평면,850,450,183,217,395,2022-09-07,,,,
양평군,청운면,435,154,115,166,238,2022-09-07,,,,
여주시,가남읍,636,307,192,137,421,2021-08-31,,,,
여주시,가업동,22,7,2,13,9,2021-08-31,,,,
여주시,강천면,270,70,92,108,157,2021-08-31,,,,
여주시,교동,175,84,53,38,139,2021-08-31,,,,
여주시,금사면,168,55,39,74,96,2021-08-31,,,,
여주시,능서면,424,86,141,197,242,2021-08-31,,,,
여주시,능현동,60,31,17,12,34,2021-08-31,,,,
여주시,단현동,26,8,8,10,16,2021-08-31,,,,
여주시,대신면,239,72,67,100,160,2021-08-31,,,,
